,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,2513.0,75.10460251046025,2534.0,75.73221757322176,2520.0,75.31380753138075
1,2.0,413.0,12.343096234309623,543.0,16.228332337118946,474.0,14.166168559473999
2,3.0,150.0,4.482964734010759,137.0,4.094441123729826,143.0,4.273759713090257
3,4.0,97.0,2.8989838613269576,66.0,1.972504482964734,94.0,2.809324566646742
4,5.0,42.0,1.2552301255230125,25.0,0.7471607890017932,31.0,0.9264793783622235
5,6.0,43.0,1.2851165570830843,18.0,0.5379557680812911,35.0,1.0460251046025104
6,7.0,21.0,0.6276150627615062,6.0,0.17931858936043038,16.0,0.47818290496114757
7,8.0,14.0,0.41841004184100417,9.0,0.26897788404064554,10.0,0.2988643156007173
8,9.0,9.0,0.26897788404064554,5.0,0.14943215780035865,8.0,0.23909145248057379
9,10.0,8.0,0.23909145248057379,1.0,0.029886431560071723,6.0,0.17931858936043038
10,11.0,10.0,0.2988643156007173,2.0,0.059772863120143446,4.0,0.11954572624028689
11,12.0,4.0,0.11954572624028689,0.0,0.0,2.0,0.059772863120143446
12,13.0,5.0,0.14943215780035865,0.0,0.0,1.0,0.029886431560071723
13,14.0,5.0,0.14943215780035865,0.0,0.0,1.0,0.029886431560071723
14,15.0,5.0,0.14943215780035865,0.0,0.0,1.0,0.029886431560071723
15,16.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
16,17.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
17,18.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
18,19.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
19,21.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
20,22.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
21,24.0,1.0,0.029886431560071723,0.0,0.0,0.0,0.0
