,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,2135.0,70.78912466843501,2150.0,71.28647214854111,2140.0,70.95490716180372
1,2.0,386.0,12.79840848806366,528.0,17.50663129973475,470.0,15.583554376657824
2,3.0,138.0,4.575596816976128,131.0,4.343501326259947,138.0,4.575596816976128
3,4.0,106.0,3.5145888594164454,84.0,2.7851458885941645,89.0,2.9509283819628647
4,5.0,42.0,1.3925729442970822,51.0,1.6909814323607428,47.0,1.5583554376657824
5,6.0,50.0,1.6578249336870028,19.0,0.629973474801061,36.0,1.1936339522546418
6,7.0,30.0,0.9946949602122015,21.0,0.6962864721485411,23.0,0.7625994694960212
7,8.0,29.0,0.9615384615384616,7.0,0.23209549071618035,21.0,0.6962864721485411
8,9.0,11.0,0.3647214854111406,8.0,0.2652519893899204,9.0,0.29840848806366044
9,10.0,18.0,0.5968169761273209,5.0,0.16578249336870027,11.0,0.3647214854111406
10,11.0,12.0,0.3978779840848806,5.0,0.16578249336870027,10.0,0.33156498673740054
11,12.0,19.0,0.629973474801061,1.0,0.03315649867374005,6.0,0.1989389920424403
12,13.0,5.0,0.16578249336870027,4.0,0.1326259946949602,7.0,0.23209549071618035
13,14.0,7.0,0.23209549071618035,2.0,0.0663129973474801,4.0,0.1326259946949602
14,15.0,10.0,0.33156498673740054,0.0,0.0,2.0,0.0663129973474801
15,16.0,4.0,0.1326259946949602,0.0,0.0,3.0,0.09946949602122016
16,17.0,5.0,0.16578249336870027,0.0,0.0,0.0,0.0
17,18.0,2.0,0.0663129973474801,0.0,0.0,0.0,0.0
18,19.0,3.0,0.09946949602122016,0.0,0.0,0.0,0.0
19,20.0,3.0,0.09946949602122016,0.0,0.0,0.0,0.0
20,22.0,1.0,0.03315649867374005,0.0,0.0,0.0,0.0
